epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,11217.7,0.45553,0.2229,0.89247,0.99946,0.99415,0.99343,0.93226,0.39727,0.15516,0.82813,0.0003169,0.0003169,0.0003169
71,11334.4,0.4549,0.2217,0.89246,0.99936,0.99415,0.99344,0.92958,0.40178,0.15705,0.82804,0.000307,0.000307,0.000307
72,11451.3,0.4566,0.2224,0.89244,0.99935,0.99415,0.99344,0.93227,0.3999,0.1559,0.82917,0.0002971,0.0002971,0.0002971
73,11568.3,0.45466,0.21942,0.89199,0.99947,0.99415,0.99345,0.93127,0.39801,0.15302,0.82776,0.0002872,0.0002872,0.0002872
74,11685.2,0.45655,0.21949,0.89154,0.99941,0.99415,0.99344,0.92948,0.39826,0.15403,0.82753,0.0002773,0.0002773,0.0002773
75,11802.1,0.44738,0.21634,0.88939,0.9994,0.99415,0.99343,0.93253,0.39571,0.15347,0.82609,0.0002674,0.0002674,0.0002674
76,11919.1,0.44823,0.21619,0.89027,0.9993,0.99415,0.99336,0.93242,0.39607,0.15271,0.82588,0.0002575,0.0002575,0.0002575
77,12036.3,0.44691,0.21644,0.88799,0.99916,0.99415,0.99344,0.93239,0.39903,0.15265,0.82789,0.0002476,0.0002476,0.0002476
78,12153.2,0.44432,0.21178,0.88707,0.9994,0.99415,0.99345,0.93274,0.39832,0.15239,0.82692,0.0002377,0.0002377,0.0002377
79,12270,0.44366,0.21235,0.88809,0.99934,0.99415,0.99344,0.93342,0.39676,0.15266,0.82689,0.0002278,0.0002278,0.0002278
80,12386.8,0.44398,0.21249,0.88753,0.99945,0.99415,0.99339,0.93435,0.39595,0.1513,0.82641,0.0002179,0.0002179,0.0002179
81,12503.9,0.44182,0.21028,0.88889,0.99938,0.99415,0.99344,0.93403,0.39666,0.15135,0.82655,0.000208,0.000208,0.000208
82,12620.8,0.44533,0.2113,0.88916,0.99948,0.99415,0.99344,0.93433,0.3965,0.15022,0.82663,0.0001981,0.0001981,0.0001981
83,12736.9,0.44023,0.20938,0.8851,0.99947,0.99415,0.99345,0.9339,0.39616,0.15031,0.8268,0.0001882,0.0001882,0.0001882
84,12853.5,0.43094,0.20583,0.88302,0.99946,0.99415,0.99345,0.93284,0.39458,0.14886,0.82682,0.0001783,0.0001783,0.0001783
85,12970.5,0.43379,0.20481,0.886,0.99949,0.99415,0.99345,0.93519,0.39315,0.14911,0.8268,0.0001684,0.0001684,0.0001684
86,13086.7,0.4349,0.20524,0.88548,0.99934,0.99415,0.99344,0.93707,0.39237,0.15043,0.82614,0.0001585,0.0001585,0.0001585
87,13203.3,0.43374,0.20452,0.88461,0.99931,0.99415,0.99344,0.93533,0.39156,0.14997,0.82577,0.0001486,0.0001486,0.0001486
88,13319.8,0.43435,0.20567,0.88297,0.99944,0.99415,0.99342,0.9351,0.3904,0.14891,0.82513,0.0001387,0.0001387,0.0001387
89,13436.2,0.42539,0.20071,0.8817,0.99946,0.99415,0.99343,0.93581,0.3899,0.148,0.82522,0.0001288,0.0001288,0.0001288
90,13552.9,0.43197,0.20223,0.88403,0.99942,0.99415,0.99345,0.93557,0.39157,0.14762,0.82555,0.0001189,0.0001189,0.0001189
91,13668.3,0.37434,0.1607,0.83584,0.99945,0.99415,0.99344,0.93572,0.39261,0.14963,0.82572,0.000109,0.000109,0.000109
92,13781.4,0.37085,0.15862,0.83439,0.9993,0.99415,0.99343,0.93724,0.39272,0.14978,0.82609,9.91e-05,9.91e-05,9.91e-05
93,13894.8,0.37039,0.15709,0.83404,0.99929,0.99415,0.99342,0.9349,0.39363,0.14933,0.82592,8.92e-05,8.92e-05,8.92e-05
94,14008,0.36957,0.15599,0.83161,0.99935,0.99415,0.99343,0.93498,0.39411,0.15015,0.82623,7.93e-05,7.93e-05,7.93e-05
95,14128.9,0.36629,0.15552,0.83564,0.99936,0.99415,0.99342,0.93421,0.39418,0.14964,0.82624,6.94e-05,6.94e-05,6.94e-05
96,14242.1,0.36639,0.15469,0.83617,0.9995,0.99415,0.99343,0.93501,0.39436,0.14904,0.82589,5.95e-05,5.95e-05,5.95e-05
97,14355.5,0.36446,0.15329,0.83245,0.9995,0.99415,0.99342,0.93486,0.39431,0.14903,0.82621,4.96e-05,4.96e-05,4.96e-05
98,14468.5,0.36274,0.15151,0.83428,0.99937,0.99415,0.99342,0.93436,0.39461,0.14944,0.82628,3.97e-05,3.97e-05,3.97e-05
99,14581.5,0.3617,0.15131,0.83259,0.99919,0.99415,0.99343,0.93495,0.39371,0.14899,0.82629,2.98e-05,2.98e-05,2.98e-05
100,14694.2,0.36073,0.14931,0.8314,0.999,0.99415,0.99343,0.93415,0.39381,0.14924,0.82595,1.99e-05,1.99e-05,1.99e-05
