epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1954.34,0.46184,0.22272,0.8986,0.99739,0.99217,0.99265,0.92531,0.41868,0.17149,0.84249,0.000307,0.000307,0.000307
72,1981.8,0.4645,0.22313,0.89957,0.99874,0.99217,0.9926,0.92596,0.41567,0.16399,0.84166,0.0002971,0.0002971,0.0002971
73,2009.52,0.45048,0.2165,0.89423,0.99837,0.99217,0.99257,0.92406,0.41634,0.16565,0.84125,0.0002872,0.0002872,0.0002872
74,2037.01,0.45806,0.22026,0.89563,0.99743,0.99217,0.9926,0.92508,0.41319,0.16308,0.83986,0.0002773,0.0002773,0.0002773
75,2064.47,0.45044,0.21765,0.89531,0.99784,0.99217,0.99268,0.92861,0.41531,0.16455,0.84114,0.0002674,0.0002674,0.0002674
76,2091.87,0.45542,0.21851,0.89909,0.99908,0.99217,0.99262,0.92386,0.41434,0.15928,0.83981,0.0002575,0.0002575,0.0002575
77,2119.02,0.45141,0.21544,0.89419,0.99872,0.99217,0.99262,0.92417,0.41757,0.16103,0.84194,0.0002476,0.0002476,0.0002476
78,2146.07,0.45201,0.21595,0.89352,0.99741,0.99217,0.9926,0.92448,0.41751,0.16421,0.84233,0.0002377,0.0002377,0.0002377
79,2173.54,0.45274,0.21745,0.89808,0.99842,0.99217,0.99265,0.92569,0.41831,0.1655,0.843,0.0002278,0.0002278,0.0002278
80,2200.91,0.44925,0.21521,0.89362,0.99779,0.99217,0.99268,0.9249,0.4164,0.16154,0.843,0.0002179,0.0002179,0.0002179
81,2228.39,0.45078,0.21422,0.89299,0.9974,0.99217,0.9922,0.92364,0.41445,0.16117,0.84024,0.000208,0.000208,0.000208
82,2255.85,0.44679,0.21288,0.8927,0.99791,0.99217,0.99262,0.92579,0.41221,0.16324,0.83912,0.0001981,0.0001981,0.0001981
83,2283.31,0.43995,0.21,0.89121,0.99928,0.99217,0.99265,0.9254,0.41332,0.16621,0.84079,0.0001882,0.0001882,0.0001882
84,2310.53,0.44466,0.21402,0.89246,0.99942,0.99217,0.99268,0.92619,0.41296,0.16538,0.8409,0.0001783,0.0001783,0.0001783
85,2337.77,0.44029,0.20942,0.88675,0.99935,0.99217,0.9925,0.9241,0.40967,0.16456,0.83985,0.0001684,0.0001684,0.0001684
86,2364.99,0.44081,0.2097,0.89085,0.9991,0.99217,0.99244,0.92596,0.41083,0.16196,0.84009,0.0001585,0.0001585,0.0001585
87,2392.29,0.44124,0.20696,0.88816,0.99934,0.99217,0.99246,0.92693,0.41003,0.16235,0.83905,0.0001486,0.0001486,0.0001486
88,2419.8,0.4396,0.20676,0.88911,0.99932,0.99217,0.99262,0.92447,0.41033,0.15837,0.8384,0.0001387,0.0001387,0.0001387
89,2447.29,0.43222,0.20289,0.88561,0.99934,0.99217,0.99253,0.9273,0.4103,0.15576,0.839,0.0001288,0.0001288,0.0001288
90,2474.77,0.43072,0.20134,0.8892,0.99927,0.99217,0.9925,0.92669,0.41016,0.15526,0.83856,0.0001189,0.0001189,0.0001189
91,2503.16,0.38661,0.1657,0.84345,0.99937,0.99217,0.99253,0.92339,0.41852,0.16069,0.84211,0.000109,0.000109,0.000109
92,2530.34,0.38087,0.16229,0.84285,0.99935,0.99217,0.99257,0.92515,0.41654,0.15863,0.84157,9.91e-05,9.91e-05,9.91e-05
93,2557.36,0.37949,0.16089,0.8432,0.99935,0.99217,0.99262,0.92566,0.41584,0.15844,0.84075,8.92e-05,8.92e-05,8.92e-05
94,2584.67,0.37903,0.15998,0.84028,0.99915,0.99217,0.99262,0.92653,0.41414,0.1563,0.84029,7.93e-05,7.93e-05,7.93e-05
95,2612,0.375,0.1579,0.83939,0.99933,0.99217,0.99268,0.92661,0.41531,0.15817,0.84175,6.94e-05,6.94e-05,6.94e-05
96,2638.85,0.37406,0.15776,0.84251,0.99932,0.99217,0.99268,0.92747,0.41393,0.15601,0.84114,5.95e-05,5.95e-05,5.95e-05
97,2666.13,0.37358,0.15579,0.84119,0.9993,0.99217,0.99268,0.92683,0.41185,0.15533,0.84043,4.96e-05,4.96e-05,4.96e-05
98,2693.22,0.36995,0.1544,0.83876,0.99922,0.99217,0.99268,0.92798,0.41337,0.15433,0.83993,3.97e-05,3.97e-05,3.97e-05
99,2720.16,0.36918,0.15212,0.83707,0.99942,0.99217,0.99268,0.92691,0.41206,0.15525,0.83985,2.98e-05,2.98e-05,2.98e-05
100,2747.36,0.36739,0.15087,0.83443,0.99941,0.99217,0.99268,0.92612,0.41139,0.15506,0.83913,1.99e-05,1.99e-05,1.99e-05
